epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,16,,,0.0043562776409089565,84.57470703125,0.005950841587036848,1.3714792728424072,0.005950841587036848
0,16,0.012383158318698406,,,,,,
1,33,,,0.0037760701961815357,32.94948196411133,0.005450544413179159,1.435821294784546,0.005450544413179159
1,33,0.005593415815383196,,,,,,
2,49,,0.005204103421419859,,,,,
2,50,,,0.003607184626162052,20.543231964111328,0.0052987136878073215,1.6353627443313599,0.0052987136878073215
2,50,0.005234225653111935,,,,,,
3,67,,,0.0035962669644504786,18.154172897338867,0.005290498025715351,1.6745518445968628,0.005290498025715351
3,67,0.0051725804805755615,,,,,,
4,84,,,0.0036411918699741364,31.105201721191406,0.005326968617737293,1.5666418075561523,0.005326968617737293
4,84,0.005138529930263758,,,,,,
5,99,,0.0053938101045787334,,,,,
5,101,,,0.0036376304924488068,31.472610473632812,0.005323886405676603,1.5657976865768433,0.005323886405676603
5,101,0.005165879148989916,,,,,,
6,118,,,0.0036063522566109896,25.90567398071289,0.005298623815178871,1.6215367317199707,0.005298623815178871
6,118,0.005148563999682665,,,,,,
7,135,,,0.003581071738153696,13.835868835449219,0.005280203185975552,1.7032371759414673,0.005280203185975552
7,135,0.00515360850840807,,,,,,
8,149,,0.004413997288793325,,,,,
8,152,,,0.0035776582080870867,5.852355003356934,0.005278553813695908,1.7243276834487915,0.005278553813695908
8,152,0.005142503418028355,,,,,,
9,169,,,0.003628943581134081,11.611593246459961,0.005328385159373283,1.5637712478637695,0.005328385159373283
9,169,0.005157844163477421,,,,,,
10,186,,,0.003586472012102604,9.508875846862793,0.005290444009006023,1.7143036127090454,0.005290444009006023
10,186,0.005160603206604719,,,,,,
11,199,,0.004456623457372189,,,,,
11,203,,,0.0036013603676110506,22.86910057067871,0.005299286916851997,1.650360345840454,0.005299286916851997
11,203,0.005165938287973404,,,,,,
12,220,,,0.003589045722037554,5.578688144683838,0.005295083858072758,1.686976432800293,0.005295083858072758
12,220,0.005145440809428692,,,,,,
13,237,,,0.0035847174003720284,6.205211639404297,0.005290133412927389,1.7101761102676392,0.005290133412927389
13,237,0.005138680804520845,,,,,,
14,249,,0.005068696569651365,,,,,
14,254,,,0.003579508513212204,10.023675918579102,0.005284103099256754,1.735567569732666,0.005284103099256754
14,254,0.0051149362698197365,,,,,,
15,271,,,0.0035809155087918043,13.680941581726074,0.0052842008881270885,1.7155016660690308,0.0052842008881270885
15,271,0.0051275803707540035,,,,,,
16,288,,,0.0035858035553246737,16.503877639770508,0.005287577863782644,1.6831704378128052,0.005287577863782644
16,288,0.005119049455970526,,,,,,
