unique_id,ds,y,premium_chg,fundingRate,vol_chg,trades_chg,taker_buy_share,rv_24,hour_sin,hour_cos,dow_sin,dow_cos,fundingRate_missing,taker_buy_share_missing
BTCUSDT,2023-01-08 00:00:00,-0.001010163750136,-1.982000000000004e-05,0.0001,1.3425775786605652,1.0159685492011814,0.5110714777296514,0.000669034101991,0.0,1.0,-0.7818314824680299,0.6234898018587334,0,0
BTCUSDT,2023-01-08 01:00:00,0.0003191093331089,0.00018388,0.0001,-0.5979440169162267,-0.4752378810834639,0.5552485180045702,0.0005832649511006,0.2588190451025207,0.9659258262890684,-0.7818314824680299,0.6234898018587334,0,0
BTCUSDT,2023-01-08 02:00:00,3.5450307535711545e-05,-6.054999999999998e-05,0.0001,-0.7425839446298825,-0.5253341628220323,0.4377418795094401,0.0005794047112847,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0
BTCUSDT,2023-01-08 03:00:00,0.0008032034071856,2.8990000000000005e-05,0.0001,0.411472103635206,0.2923832854056645,0.5953972816110071,0.0005922580544329,0.7071067811865475,0.7071067811865476,-0.7818314824680299,0.6234898018587334,0,0
BTCUSDT,2023-01-08 04:00:00,-0.0004842071792694,2.5449999999999995e-05,0.0001,-0.5315603430016216,-0.4185045666541001,0.4384553768738279,0.0005742086496518,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0,0
BTCUSDT,2023-01-08 05:00:00,0.0003779378809607,-0.00010444,0.0001,-0.0881028767325986,0.0117989944533611,0.6853733746872774,0.0005777556053213,0.9659258262890684,0.2588190451025207,-0.7818314824680299,0.6234898018587334,0,0
BTCUSDT,2023-01-08 06:00:00,0.0005076292054813,5.763000000000003e-05,0.0001,0.3573719474682546,0.3075449342793401,0.5379489931358611,0.0005852157738229,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0,0
BTCUSDT,2023-01-08 07:00:00,-1.770365846098798e-05,-0.0001381,0.0001,0.3312263591155524,0.1623306845391887,0.4910448680804636,0.0005587694306984,0.9659258262890684,-0.2588190451025206,-0.7818314824680299,0.6234898018587334,0,0
BTCUSDT,2023-01-08 08:00:00,-0.000395463390852,3.1760000000000035e-05,0.0001,0.0057396357481502,0.0710816592579473,0.3897638106919998,0.0005201002721918,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0,0
BTCUSDT,2023-01-08 09:00:00,-0.0006732376487814,3.1209999999999994e-05,0.0001,0.9485269655982966,0.7050269081224521,0.4997493850571657,0.0005397549582967,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,0,0
BTCUSDT,2023-01-08 10:00:00,0.0002008376116524,1.9440000000000017e-05,0.0001,-1.3664527856258628,-1.1505216847587132,0.4681970771665465,0.0005334133323593,0.4999999999999999,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0
BTCUSDT,2023-01-08 11:00:00,-0.0007208399870162,-7.482000000000002e-05,0.0001,0.5169291300657113,0.3198834997549937,0.4017712140774456,0.0005518660184432,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,0,0
BTCUSDT,2023-01-08 12:00:00,-0.0001950706250521,-4.684999999999997e-05,0.0001,0.1651436633854057,0.1163549764464715,0.4821757608316225,0.0005535359128706,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0,0
BTCUSDT,2023-01-08 13:00:00,0.0005201037960702,6.008999999999995e-05,0.0001,-0.2634866243018772,-0.0674858063471646,0.5805941366384261,0.000563198750672,-0.2588190451025208,-0.9659258262890684,-0.7818314824680299,0.6234898018587334,0,0
BTCUSDT,2023-01-08 14:00:00,0.0012695714982911,3.145000000000003e-05,0.0001,0.4805356846171529,0.3788980807234434,0.6300621111671642,0.0005722476410741,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0,0
BTCUSDT,2023-01-08 15:00:00,0.002675578996353,-0.0001007399999999,0.0001,1.2030620562493797,1.0564706470871634,0.581616375825967,0.0007865422306959,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,0,0
BTCUSDT,2023-01-08 16:00:00,-0.0035906893014789,0.0001069399999999,0.0001,0.2599957313601457,0.2542739362112858,0.4433840096036335,0.0010716367856578,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0,0
BTCUSDT,2023-01-08 17:00:00,-0.0006026588070149,-0.0001234799999999,0.0001,-1.3398111842435796,-1.1687207082692268,0.4246690803966881,0.0010762398927384,-0.9659258262890684,-0.2588190451025206,-0.7818314824680299,0.6234898018587334,0,0
BTCUSDT,2023-01-08 18:00:00,0.000130015956687,9.619999999999997e-05,0.0001,-0.5103490222415026,-0.3927375222767395,0.4853705638296373,0.0010705890606792,-1.0,-1.8369701987210292e-16,-0.7818314824680299,0.6234898018587334,0,0
BTCUSDT,2023-01-08 19:00:00,-0.0001063754344663,-2.6560000000000017e-05,0.0001,-0.3013713474451895,-0.2435564033696895,0.5043898671203971,0.0010684230291228,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,0,0
BTCUSDT,2023-01-08 20:00:00,0.0023081678621252,2.048000000000002e-05,0.0001,1.457328849256176,1.1913757321178036,0.5343230954628235,0.0011712545612796,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0,0
BTCUSDT,2023-01-08 21:00:00,-0.0006016173069749,2.099999999999997e-07,0.0001,-0.5771470660746143,-0.5103535163295092,0.491849278366878,0.0011742746421162,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,0,0
