ts,target_log_ret_1h,log_ret_1h,premium_chg,fundingRate,vol_chg,trades_chg,hour_sin,hour_cos,dow_sin,dow_cos,fund_cycle_sin,fund_cycle_cos
2025-05-16 05:00:00+00:00,0.0008575252694189,-0.0001704086779685,-7.014e-05,1.439e-05,-0.2799766975275837,-0.1647176482263912,0.9659258262890684,0.2588190451025207,-0.433883739117558,-0.9009688679024191,-0.7071067811865475,-0.7071067811865477
2025-05-16 06:00:00+00:00,-0.0029056624944114,0.0008575252694189,6.875000000000002e-05,1.439e-05,-0.288140024440624,-0.077509160694019,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16
2025-05-16 07:00:00+00:00,-0.0027883456404893,-0.0029056624944114,-0.00025948,1.439e-05,0.8062869653823874,0.3433171720077066,0.9659258262890684,-0.2588190451025206,-0.433883739117558,-0.9009688679024191,-0.7071067811865477,0.7071067811865474
2025-05-16 08:00:00+00:00,0.0038086013714941,-0.0027883456404893,0.0002330099999999,7.535e-05,0.6691040135676243,0.4887304259750387,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.0,1.0
2025-05-16 09:00:00+00:00,-2.505997526824899e-05,0.0038086013714941,-7.536000000000001e-05,7.535e-05,-0.7420467992324475,-0.432705700394564,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,0.7071067811865475,0.7071067811865476
2025-05-16 10:00:00+00:00,-0.0013049499764434,-2.505997526824899e-05,-8.423000000000003e-05,7.535e-05,-0.4300147831417007,-0.297137614764404,0.4999999999999999,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
2025-05-16 11:00:00+00:00,-0.0015492453426748,-0.0013049499764434,0.00018037,7.535e-05,0.1897449528252295,0.0695682262491654,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,0.7071067811865476,-0.7071067811865475
2025-05-16 12:00:00+00:00,0.0048185335934345,-0.0015492453426748,-0.0001549,7.535e-05,-0.2705281176277969,-0.0410544381307342,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0
2025-05-16 13:00:00+00:00,-0.003989524009448,0.0048185335934345,0.00012641,7.535e-05,0.8431184562332517,0.5033469609142234,-0.2588190451025208,-0.9659258262890684,-0.433883739117558,-0.9009688679024191,-0.7071067811865475,-0.7071067811865477
2025-05-16 14:00:00+00:00,0.0058175111670575,-0.003989524009448,-1.563999999999998e-05,7.535e-05,0.1812904883975878,0.2347729723761755,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16
2025-05-16 15:00:00+00:00,-0.0004225812091078,0.0058175111670575,5.953999999999996e-05,7.535e-05,0.1123825116085868,0.0623885196216047,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,-0.7071067811865477,0.7071067811865474
