ts,target_log_ret_1h,log_ret_1h,abs_ret,rv_6,rv_24,rv_72,volume,num_trades,fundingRate,hour_sin,hour_cos,dow_sin,dow_cos
2023-01-08 00:00:00+00:00,0.0003191093331089,-0.001010163750136,0.001010163750136,0.0005245699404358,0.000669034101991,0.001417894177619,6829.26,32754,0.0001,0.0,1.0,-0.7818314824680299,0.6234898018587334
2023-01-08 01:00:00+00:00,3.5450307535711545e-05,0.0003191093331089,0.0003191093331089,0.0005275369156169,0.0005832649511006,0.0014179304606103,3755.241,20364,0.0001,0.2588190451025207,0.9659258262890684,-0.7818314824680299,0.6234898018587334
2023-01-08 02:00:00+00:00,0.0008032034071856,3.5450307535711545e-05,3.5450307535711545e-05,0.0005210219321761,0.0005794047112847,0.0014178995800362,1786.53,12042,0.0001,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-08 03:00:00+00:00,-0.0004842071792694,0.0008032034071856,0.0008032034071856,0.0006115481090233,0.0005922580544329,0.0014185293422687,2696.45,16132,0.0001,0.7071067811865475,0.7071067811865476,-0.7818314824680299,0.6234898018587334
2023-01-08 04:00:00+00:00,0.0003779378809607,-0.0004842071792694,0.0004842071792694,0.0006531134537916,0.0005742086496518,0.0014188862563004,1584.257,10615,0.0001,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
2023-01-08 05:00:00+00:00,0.0005076292054813,0.0003779378809607,0.0003779378809607,0.0006550821239658,0.0005777556053213,0.001418768247339,1450.567,10741,0.0001,0.9659258262890684,0.2588190451025207,-0.7818314824680299,0.6234898018587334
2023-01-08 06:00:00+00:00,-1.770365846098798e-05,0.0005076292054813,0.0005076292054813,0.0004422804955844,0.0005852157738229,0.0014065419102836,2074.113,14609,0.0001,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334
2023-01-08 07:00:00+00:00,-0.000395463390852,-1.770365846098798e-05,1.770365846098798e-05,0.0004544623110011,0.0005587694306984,0.0014063705565991,2888.958,17184,0.0001,0.9659258262890684,-0.2588190451025206,-0.7818314824680299,0.6234898018587334
2023-01-08 08:00:00+00:00,-0.0006732376487814,-0.000395463390852,0.000395463390852,0.0005162241366304,0.0005201002721918,0.0014018663007651,2905.593,18450,0.0001,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334
2023-01-08 09:00:00+00:00,0.0002008376116524,-0.0006732376487814,0.0006732376487814,0.0004830569935485,0.0005397549582967,0.001404916893895,7503.543,37342,0.0001,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334
2023-01-08 10:00:00+00:00,-0.0007208399870162,0.0002008376116524,0.0002008376116524,0.000458435130229,0.0005334133323593,0.0014014214301409,1912.733,11817,0.0001,0.4999999999999999,-0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-08 11:00:00+00:00,-0.0001950706250521,-0.0007208399870162,0.0007208399870162,0.0004952511055275,0.0005518660184432,0.0014031872116295,3208.082,16272,0.0001,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334
2023-01-08 12:00:00+00:00,0.0005201037960702,-0.0001950706250521,0.0001950706250521,0.0003652575101539,0.0005535359128706,0.0013997081344347,3784.313,18280,0.0001,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334
2023-01-08 13:00:00+00:00,0.0012695714982911,0.0005201037960702,0.0005201037960702,0.0004923419580403,0.000563198750672,0.0013651940201797,2907.513,17087,0.0001,-0.2588190451025208,-0.9659258262890684,-0.7818314824680299,0.6234898018587334
2023-01-08 14:00:00+00:00,0.002675578996353,0.0012695714982911,0.0012695714982911,0.0007624589604508,0.0005722476410741,0.001326575993172,4701.892,24959,0.0001,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334
2023-01-08 15:00:00+00:00,-0.0035906893014789,0.002675578996353,0.002675578996353,0.0012078960780819,0.0007865422306959,0.0013582947384565,15661.036,71789,0.0001,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334
