model_kind,lookback,hidden_dim,dropout,val_rmse,val_pearson,val_dir_acc
gru,168,32,0.0,0.005543987889793171,0.01882030738547024,0.4962223421478683
gru,48,32,0.0,0.005546858675332416,0.005126840521119168,0.5057998381440518
lstm,48,32,0.0,0.005549977877667439,0.007409676555044207,0.5028324790936067
lstm,168,32,0.0,0.005553202331583151,-0.00794031762949571,0.4883971937398813
